Time	LH_AnkleZ	LH_HipZ	LH_Knee	
0.66765	-0.3862478	-0.115088	-0.4579164	
0.6677	-0.3853273	-0.1150389	-0.4577911	
0.66775	-0.3847893	-0.1149852	-0.4576294	
0.6678	-0.3845654	-0.1149261	-0.4574319	
0.66785	-0.3844579	-0.1148603	-0.457204	
0.6679	-0.3843689	-0.1147894	-0.456949	
0.66795	-0.3842795	-0.1147122	-0.456666	
0.668	-0.3841769	-0.1146299	-0.456356	
0.66805	-0.3840492	-0.1145439	-0.4560221	
0.6681	-0.383889	-0.1144533	-0.4556616	
0.66815	-0.3836854	-0.1143591	-0.4552755	
0.6682	-0.3834288	-0.1142601	-0.4548633	
0.66825	-0.3831079	-0.1141582	-0.454426	
0.6683	-0.3805867	-0.1140928	-0.4542356	
0.66835	-0.3781886	-0.1140416	-0.4541828	
0.6684	-0.3757494	-0.1140069	-0.4541517	
0.66845	-0.3741903	-0.1139699	-0.4540721	
0.6685	-0.3733446	-0.1139283	-0.4539457	
0.66855	-0.3731384	-0.1138814	-0.4537758	
0.6686	-0.3730621	-0.1138275	-0.4535785	
0.66865	-0.3729244	-0.1137671	-0.4533578	
0.6687	-0.372764	-0.1136986	-0.4531106	
0.66875	-0.3725848	-0.1136239	-0.4528376	
0.6688	-0.3723897	-0.1135424	-0.4525377	
0.66885	-0.3721788	-0.1134547	-0.4522112	
0.6689	-0.3719491	-0.1133622	-0.4518604	
0.66895	-0.3716986	-0.1132654	-0.4514843	
0.669	-0.371423	-0.1131639	-0.4510839	
0.66905	-0.371118	-0.1130582	-0.4506587	
0.6691	-0.3707774	-0.1129483	-0.4502088	
0.66915	-0.3683616	-0.1128761	-0.4500431	
0.6692	-0.3660286	-0.1128198	-0.4499762	
0.66925	-0.3648204	-0.1127565	-0.449859	
0.6693	-0.3640902	-0.1126886	-0.4497008	
0.66935	-0.3637992	-0.1126153	-0.449504	
0.6694	-0.363739	-0.1125381	-0.4492789	
0.66945	-0.3636977	-0.1124553	-0.4490286	
0.6695	-0.3636518	-0.1123678	-0.4487531	
0.66955	-0.3635909	-0.1122741	-0.4484509	
0.6696	-0.3635052	-0.1121762	-0.4481232	
0.66965	-0.3633855	-0.1120734	-0.447771	
0.6697	-0.3632228	-0.1119679	-0.4473937	
0.66975	-0.3630074	-0.1118595	-0.4469916	
0.6698	-0.3627301	-0.1117472	-0.446564	
0.66985	-0.3623796	-0.1116326	-0.4461123	
0.6699	-0.3619463	-0.1115158	-0.4456385	
0.66995	-0.3597401	-0.1114547	-0.4455038	
0.67	-0.357291	-0.1114107	-0.4454435	
0.67005	-0.3547727	-0.1113839	-0.4453936	
0.6701	-0.3532085	-0.1113552	-0.4452946	
0.67015	-0.3524282	-0.1113213	-0.4451459	
0.6702	-0.3522964	-0.1112813	-0.444954	
0.67025	-0.3520645	-0.1112359	-0.4447445	
0.6703	-0.3518101	-0.1111844	-0.4445128	
0.67035	-0.351531	-0.1111273	-0.4442581	
0.6704	-0.3512314	-0.111064	-0.4439792	
0.67045	-0.3509137	-0.1109948	-0.4436754	
0.6705	-0.3505787	-0.1109196	-0.4433476	
0.67055	-0.3502284	-0.1108394	-0.4429951	
0.6706	-0.349863	-0.1107528	-0.4426164	
0.67065	-0.3494799	-0.1106608	-0.4422121	
0.6707	-0.3490767	-0.1105637	-0.4417819	
0.67075	-0.3467069	-0.1105042	-0.4416378	
0.6708	-0.3443969	-0.1104568	-0.4415626	
0.67085	-0.3425888	-0.1104045	-0.441452	
0.6709	-0.3410299	-0.1103455	-0.441305	
0.67095	-0.3397614	-0.1102791	-0.4411211	
0.671	-0.3388008	-0.1102051	-0.4409006	
0.67105	-0.3381481	-0.1101244	-0.4406455	
0.6711	-0.3377755	-0.1100346	-0.4403572	
0.67115	-0.337637	-0.1099394	-0.4400396	
0.6712	-0.3376379	-0.1098368	-0.4396918	
0.67125	-0.3376388	-0.1097298	-0.4393167	
0.6713	-0.3376399	-0.1096166	-0.438913	
0.67135	-0.3376408	-0.1094989	-0.4384823	
0.6714	-0.3354853	-0.1093982	-0.4382629	
0.67145	-0.3352794	-0.1092901	-0.4379881	
0.6715	-0.3352792	-0.1091768	-0.4376936	
0.67155	-0.3346652	-0.1090582	-0.4374005	
0.6716	-0.3346658	-0.1089387	-0.4370666	
0.67165	-0.3341857	-0.1088138	-0.4367253	
0.6717	-0.3341467	-0.108685	-0.4363517	
0.67175	-0.3319324	-0.108578	-0.4361887	
0.6718	-0.3311229	-0.1084647	-0.4359731	
0.67185	-0.3310602	-0.1083479	-0.4357137	
0.6719	-0.33103	-0.1082271	-0.4354338	
0.67195	-0.3309159	-0.1081012	-0.4351346	
0.672	-0.3308358	-0.1079711	-0.4348124	
0.67205	-0.3307242	-0.1078376	-0.434468	
0.6721	-0.3305933	-0.1077008	-0.4341009	
0.67215	-0.3304336	-0.1075628	-0.433712	
0.6722	-0.3302366	-0.1074229	-0.4333022	
0.67225	-0.3299931	-0.1072828	-0.4328716	
0.6723	-0.329695	-0.1071407	-0.4324184	
0.67235	-0.3272303	-0.1070538	-0.4322527	
0.6724	-0.3248118	-0.1069904	-0.4321584	
0.67245	-0.3231691	-0.1069274	-0.4320247	
0.6725	-0.3221363	-0.1068601	-0.4318475	
0.67255	-0.3216453	-0.1067878	-0.4316302	
0.6726	-0.3214744	-0.1067103	-0.431381	
0.67265	-0.3213485	-0.1066273	-0.4311072	
0.6727	-0.3212228	-0.1065392	-0.4308099	
0.67275	-0.3210845	-0.1064468	-0.4304906	
0.6728	-0.3209258	-0.1063514	-0.4301496	
0.67285	-0.3207427	-0.1062515	-0.4297848	
0.6729	-0.3205278	-0.1061474	-0.4293956	
0.67295	-0.3202737	-0.1060389	-0.4289817	
0.673	-0.3199718	-0.105927	-0.428544	
0.67305	-0.3196155	-0.105811	-0.4280821	
0.6731	-0.3171143	-0.1057379	-0.4278798	
0.67315	-0.3146972	-0.1056798	-0.4277726	
0.6732	-0.3134527	-0.1056142	-0.4276184	
0.67325	-0.3127114	-0.1055442	-0.4274246	
0.6733	-0.3124019	-0.1054681	-0.4271946	
0.67335	-0.3122689	-0.1053861	-0.4269365	
0.6734	-0.3121488	-0.1052987	-0.4266557	
0.67345	-0.3120214	-0.1052057	-0.4263511	
0.6735	-0.3118778	-0.1051071	-0.4260218	
0.67355	-0.311711	-0.1050032	-0.4256678	
0.6736	-0.3115142	-0.1048947	-0.425289	
0.67365	-0.3112783	-0.1047838	-0.4248889	
0.6737	-0.3109976	-0.1046697	-0.4244652	
0.67375	-0.3106648	-0.1045525	-0.4240178	
0.6738	-0.310273	-0.1044313	-0.4235464	
0.67385	-0.3078005	-0.1043616	-0.4233918	
0.6739	-0.3053764	-0.1043099	-0.4233006	
0.67395	-0.3034494	-0.1042566	-0.4231749	
0.674	-0.3019277	-0.1041967	-0.4230088	
0.67405	-0.3008209	-0.1041296	-0.422803	
0.6741	-0.3001078	-0.1040554	-0.4225596	
0.67415	-0.2997094	-0.103974	-0.4222833	
0.6742	-0.2994791	-0.1038858	-0.4219776	
0.67425	-0.299354	-0.1037894	-0.4216436	
0.6743	-0.2993109	-0.1036865	-0.4212822	
0.67435	-0.2993112	-0.103577	-0.4208941	
0.6744	-0.299311	-0.1034631	-0.4204824	
0.67445	-0.2993116	-0.1033437	-0.4200456	
0.6745	-0.2993117	-0.10322	-0.4195847	
0.67455	-0.2970344	-0.1031193	-0.4194034	
0.6746	-0.2967185	-0.1030153	-0.4191592	
0.67465	-0.2967196	-0.1029158	-0.4188847	
0.6747	-0.2959084	-0.1028119	-0.4186161	
0.67475	-0.295909	-0.1027066	-0.4182993	
0.6748	-0.2952463	-0.102597	-0.4179796	
0.67485	-0.2952458	-0.1024838	-0.4176193	
0.6749	-0.2947455	-0.1023671	-0.41725	
0.67495	-0.2944802	-0.1022472	-0.4168545	
0.675	-0.2920733	-0.1021677	-0.4166846	
0.67505	-0.2897117	-0.1020996	-0.4165618	
0.6751	-0.2872865	-0.1020382	-0.4164294	
0.67515	-0.2855238	-0.1019728	-0.4162584	
0.6752	-0.2843103	-0.1019008	-0.4160452	
0.67525	-0.2836213	-0.1018223	-0.4157946	
0.6753	-0.2833176	-0.1017369	-0.415511	
0.67535	-0.2831991	-0.1016432	-0.4151988	
0.6754	-0.283199	-0.1015419	-0.41486	
0.67545	-0.2831992	-0.1014337	-0.414497	
0.6755	-0.2831998	-0.1013208	-0.4141102	
0.67555	-0.2832006	-0.1012011	-0.4136975	
0.6756	-0.2832013	-0.1010757	-0.4132597	
0.67565	-0.2832017	-0.1009459	-0.4127982	
0.6757	-0.2832023	-0.1008108	-0.4123123	
0.67575	-0.2809529	-0.1006988	-0.4120895	
0.6758	-0.280704	-0.1005824	-0.411808	
0.67585	-0.2807052	-0.1004664	-0.4115069	
0.6759	-0.2799926	-0.1003463	-0.4112102	
0.67595	-0.2799934	-0.1002255	-0.4108703	
0.676	-0.2793864	-0.1001008	-0.4105283	
0.67605	-0.2793862	-0.09997279	-0.4101499	
0.6761	-0.2789285	-0.09984117	-0.409762	
0.67615	-0.2765805	-0.0997558	-0.4095569	
0.6762	-0.2742595	-0.09968165	-0.4094126	
0.67625	-0.2718851	-0.09962177	-0.4092676	
0.6763	-0.2705642	-0.09955953	-0.4090766	
0.67635	-0.2701069	-0.09949032	-0.4088393	
0.6764	-0.2699912	-0.09941395	-0.4085736	
0.67645	-0.2698118	-0.09932964	-0.4082884	
0.6765	-0.2696286	-0.09923842	-0.4079823	
0.67655	-0.2694538	-0.09913931	-0.4076535	
0.6766	-0.2692916	-0.09903409	-0.4073029	
0.67665	-0.269146	-0.09892166	-0.4069291	
0.6767	-0.2690166	-0.09880214	-0.406533	
0.67675	-0.2688987	-0.09867974	-0.4061172	
0.6768	-0.2687919	-0.09855168	-0.4056788	
0.67685	-0.2686903	-0.09841734	-0.4052165	
0.6769	-0.2685838	-0.09827861	-0.4047318	
0.67695	-0.2662475	-0.09816866	-0.4044792	
0.677	-0.2639545	-0.0980743	-0.4043004	
0.67705	-0.2615958	-0.09798182	-0.4041078	
0.6771	-0.2593582	-0.09791016	-0.4039483	
0.67715	-0.2584241	-0.09783266	-0.4037396	
0.6772	-0.2584247	-0.09774888	-0.4034868	
0.67725	-0.2582209	-0.09765644	-0.4032202	
0.6773	-0.2580179	-0.09755607	-0.402935	
0.67735	-0.2578071	-0.09744683	-0.4026286	
0.6774	-0.2576005	-0.09733031	-0.4023012	
0.67745	-0.2574067	-0.09720583	-0.4019509	
0.6775	-0.2572311	-0.09707535	-0.4015789	
0.67755	-0.2570797	-0.09693789	-0.4011839	
0.6776	-0.2569547	-0.09679432	-0.4007661	
0.67765	-0.2568546	-0.09664674	-0.4003272	
0.6777	-0.2567772	-0.09649403	-0.3998673	
0.67775	-0.2567162	-0.09633786	-0.3993872	
0.6778	-0.2566648	-0.09617792	-0.398886	
0.67785	-0.2544214	-0.09605068	-0.3986566	
0.6779	-0.254063	-0.09591858	-0.3983697	
0.67795	-0.2540642	-0.09578964	-0.3980537	
0.678	-0.2535058	-0.09565698	-0.397739	
0.67805	-0.2535065	-0.09552453	-0.3973888	
0.6781	-0.2529816	-0.09538926	-0.3970346	
0.67815	-0.2529569	-0.09525137	-0.3966506	
0.6782	-0.2525561	-0.09511283	-0.3962581	
0.67825	-0.2522748	-0.09497152	-0.3958431	
0.6783	-0.2499141	-0.09487844	-0.3956586	
0.67835	-0.2475711	-0.09479887	-0.3955038	
0.6784	-0.2459162	-0.09471668	-0.3953099	
0.67845	-0.2448317	-0.09462965	-0.395077	
0.6785	-0.2442608	-0.09453766	-0.3948079	
0.67855	-0.2440001	-0.09444004	-0.3945093	
0.6786	-0.2438464	-0.09433532	-0.3941857	
0.67865	-0.2437552	-0.09422481	-0.3938386	
0.6787	-0.2437113	-0.09410778	-0.3934686	
0.67875	-0.2437027	-0.09398681	-0.3930767	
0.6788	-0.2437029	-0.09386002	-0.3926613	
0.67885	-0.2437029	-0.09372885	-0.3922236	
0.6789	-0.2437031	-0.09359252	-0.3917628	
0.67895	-0.2436903	-0.09345332	-0.3912822	
0.679	-0.2436498	-0.09331103	-0.3907806	
0.67905	-0.2412545	-0.09320053	-0.3905266	
0.6791	-0.2388901	-0.09310674	-0.3903406	
0.67915	-0.2371985	-0.09301016	-0.3901221	
0.6792	-0.2360394	-0.09290829	-0.389866	
0.67925	-0.2353735	-0.0928006	-0.3895759	
0.6793	-0.2350549	-0.09268758	-0.3892566	
0.67935	-0.2348656	-0.09256905	-0.3889135	
0.6794	-0.2347389	-0.09244358	-0.3885465	
0.67945	-0.234653	-0.09231243	-0.3881571	
0.6795	-0.2345965	-0.09217731	-0.3877468	
0.67955	-0.2345632	-0.09203667	-0.3873132	
0.6796	-0.2345743	-0.09189285	-0.386857	
0.67965	-0.232368	-0.09177706	-0.3866428	
0.6797	-0.2319899	-0.09165325	-0.3863726	
0.67975	-0.231991	-0.09153291	-0.3860731	
0.6798	-0.2314154	-0.09140902	-0.3857732	
